currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
EUR,BTC,RSI,0.00,18.89,0.00,-18.89,1.36,64.10,3.63,0.84,-8.91,-2.58,1093,10,73,59,1,112497664281,7023,5710,5200,7256,5910.10607251,8.5,1271,3391650782,13179,2018-07-24 11:50:00,2018-09-22 10:08:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,BCH,RSI,0.00,33.17,0.00,-33.17,1.51,43.18,2.70,1.01,-10.59,-1.42,1136,10,73,59,4,7679341185,0.10649,0.0712,0.06577,0.10664,0.08461239,13.0,1223,251269323,941,2018-07-24 11:50:00,2018-09-22 09:53:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,LTC,RSI,0.00,18.38,0.00,-18.38,1.32,50.00,5.83,0.91,-7.76,-1.4,1087,10,73,59,7,3079032992,0.01072,0.00875,0.00759,0.01079,0.00918822,8.2,12208,291589282,2009,2018-07-24 11:50:00,2018-09-22 10:00:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,ETH,RSI,0.00,38.70,0.00,-38.70,1.46,54.76,2.10,0.81,-10.93,-1.31,1197,10,73,59,2,20911774053,0.05786,0.03546,0.0269,0.05888,0.04429264,21.5,10044,1099636086,5881,2018-07-24 11:50:00,2018-09-22 10:02:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
EUR,BCH,RSI,0.00,45.25,0.00,-45.25,1.05,46.67,5.68,1.3,-18.73,-2.88,1631,10,73,59,4,7679341185,746.44,409.7,350,749.15,504.30924780,20.5,1621,251269323,1787,2018-07-24 11:50:00,2018-09-22 10:09:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,LTC,CCI,0.00,18.38,0.00,-18.38,1.47,65.12,4.60,0.64,-8.22,-2.62,1043,10,73,59,7,3079032992,0.01072,0.00875,0.00759,0.01079,0.00918822,8.2,12208,291589282,2009,2018-07-24 11:50:00,2018-09-22 10:00:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
EUR,BCH,CCI,0.00,45.25,0.00,-45.25,1.22,51.43,4.08,1.27,-17.63,-3.22,1304,10,73,59,4,7679341185,746.44,409.7,350,749.15,504.30924780,20.5,1621,251269323,1787,2018-07-24 11:50:00,2018-09-22 10:09:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
BTC,BCH,CCI,0.00,33.17,0.00,-33.17,1.27,45.95,2.18,0.78,-10.59,-1.51,1290,10,73,59,4,7679341185,0.10649,0.0712,0.06577,0.10664,0.08461239,13.0,1223,251269323,941,2018-07-24 11:50:00,2018-09-22 09:53:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
EUR,BTC,CCI,0.00,18.89,0.00,-18.89,1.39,60.00,3.27,0.93,-9.41,-2.11,1067,10,73,59,1,112497664281,7023,5710,5200,7256,5910.10607251,8.5,1271,3391650782,13179,2018-07-24 11:50:00,2018-09-22 10:08:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
BTC,ETH,CCI,0.00,38.70,0.00,-38.70,1.29,43.24,4.12,0.95,-11.37,-2.19,1336,10,73,59,2,20911774053,0.05786,0.03546,0.0269,0.05888,0.04429264,21.5,10044,1099636086,5881,2018-07-24 11:50:00,2018-09-22 10:02:00,constant = 0.015 history = 90 [thresholds] down = -100 persistence = 0 up = 100,first run
BTC,LTC,DEBUG_single-advice,0.00,18.38,0.00,-18.38,0.03,0.00,-0.44,n/a,-0.44,-0.44,8,10,73,59,7,3079032992,0.01072,0.00875,0.00759,0.01079,0.00918822,8.2,12208,291589282,2009,2018-07-24 11:50:00,2018-09-22 10:00:00,NA,first run
EUR,BCH,DEBUG_single-advice,0.00,45.25,0.00,-45.25,0.03,0.00,-0.78,n/a,-0.78,-0.78,11,10,73,59,4,7679341185,746.44,409.7,350,749.15,504.30924780,20.5,1621,251269323,1787,2018-07-24 11:50:00,2018-09-22 10:09:00,NA,first run
BTC,BCH,DEBUG_single-advice,0.00,33.17,0.00,-33.17,0.03,0.00,-0.61,n/a,-0.61,-0.61,5,10,73,59,4,7679341185,0.10649,0.0712,0.06577,0.10664,0.08461239,13.0,1223,251269323,941,2018-07-24 11:50:00,2018-09-22 09:53:00,NA,first run
EUR,BTC,DEBUG_single-advice,0.00,18.89,0.00,-18.89,0.03,0.00,-0.03,n/a,-0.03,-0.03,16,10,73,59,1,112497664281,7023,5710,5200,7256,5910.10607251,8.5,1271,3391650782,13179,2018-07-24 11:50:00,2018-09-22 10:08:00,NA,first run
BTC,ETH,DEBUG_single-advice,0.00,38.70,0.00,-38.70,0.03,0.00,-0.79,n/a,-0.79,-0.79,10,10,73,59,2,20911774053,0.05786,0.03546,0.0269,0.05888,0.04429264,21.5,10044,1099636086,5881,2018-07-24 11:50:00,2018-09-22 10:02:00,NA,first run
BTC,LTC,UO,0.00,18.38,0.00,-18.38,5.03,43.24,1.49,0.44,-6.25,-0.54,316,10,73,59,7,3079032992,0.01072,0.00875,0.00759,0.01079,0.00918822,8.2,12208,291589282,2009,2018-07-24 11:50:00,2018-09-22 10:00:00,[first] period = 7 weight = 4 [second] period = 14 weight = 2 [third] period = 28 weight = 1 [thresholds] high = 70 low = 30 persistence = 1,first run
